"; General-Purpose Instruction Reference (from AMD64 Architecture Programmeral Volume 3: General-Purpose and System Instructions)"						
"; Written by Florian Negele (c) 2006 - with no warranties. Adaptions to new compiler and extensions by Felix Friedrich"						
";mnemonic"	";Op(1)"	";Op(2)"	";Op(3)"	";Opcode"	";architecture"	";width(bits)"
PADDD	xmm1	 xmm2/mem128		66 0F FE /r	SSE2	
						
PADDQ	xmm1	 xmm2/mem128		66 0F D4 /r	SSE2	
						
PADDSB	xmm1	 xmm2/mem128		66 0F EC /r	SSE2	
						
PADDSW	xmm1	 xmm2/mem128		66 0F ED /r	SSE2	
						
PADDUSB	xmm1	 xmm2/mem128		66 0F DC /r	SSE2	
						
PADDUSW	xmm1	 xmm2/mem128		66 0F DD /r	SSE2	
						
PADDW	xmm1	 xmm2/mem128		66 0F FD /r	SSE2	
						
PAND	xmm1	 xmm2/mem128		66 0F DB /r	SSE2	
						
PANDN	xmm1	 xmm2/mem128		66 0F DF /r	SSE2	
						
PAVGB	xmm1	 xmm2/mem128		66 0F E0 /r	SSE2	
						
PAVGW	xmm1	 xmm2/mem128		66 0F E3 /r	SSE2	
						
PCMPEQB	xmm1	 xmm2/mem128		66 0F 74 /r	SSE2	
						
PCMPEQD	xmm1	 xmm2/mem128		66 0F 76 /r	SSE2	
						
PCMPEQW	xmm1	 xmm2/mem128		66 0F 75 /r	SSE2	
						
PCMPGTB	xmm1	 xmm2/mem128		66 0F 64 /r	SSE2	
						
PCMPGTD	xmm1	 xmm2/mem128		66 0F 66 /r	SSE2	
						
PCMPGTW	xmm1	 xmm2/mem128		66 0F 65 /r	SSE2	
						
PEXTRW	reg32	 xmm	 uimm8	66 0F C5 /r ib	SSE2,SB,AR2	
						
PINSRW	xmm	 reg/mem16	 uimm8	66 0F C4 /r ib	SSE2	
PINSRW	xmm	 reg/mem32	 uimm8	66 0F C4 /r ib	SSE2	
						
PMADDWD	xmm1	 xmm2/mem128		66 0F F5 /r	SSE2	
						
PMAXSW	xmm1	 xmm2/mem128		66 0F EE /r	SSE2	
						
PMAXUB	xmm1	 xmm2/mem128		66 0F DE /r	SSE2	
						
PMINSW	xmm1	 xmm2/mem128		66 0F EA /r	SSE2	
						
PMINUB	xmm1	 xmm2/mem128		66 0F DA /r	SSE2	
						
PMOVMSKB	reg32	 xmm		66 0F D7 /r	SSE2	
PMULHUW	xmm1	 xmm2/mem128		66 0F E4 /r	SSE2	
						
PMULHW	xmm1	 xmm2/mem128		66 0F E5 /r	SSE2	
						
PMULLW	xmm1	 xmm2/mem128		66 0F D5 /r	SSE2	
						
PMULUDQ	xmm1	 xmm2/mem128		66 0F F4 /r	SSE2	
						
POR	xmm1	 xmm2/mem128		66 0F EB /r	SSE2	
						
PSADBW	xmm1	 xmm2/mem128		66 0F F6 /r	SSE2	
						
PSHUFD	xmm1	 xmm2/mem128	 uimm8	66 0F 70 /r ib	SSE2,SB,AR2	
						
PSHUFHW	xmm1	 xmm2/mem128	 uimm8	F3 0F 70 /r ib	SSE2,SB,AR2	
						
PSHUFLW	xmm1	 xmm2/mem128	 uimm8	F2 0F 70 /r ib	SSE2,SB,AR2	
						
PSLLD	xmm1	 xmm2/mem128		66 0F F2 /r	SSE2	
PSLLD	xmm	 uimm8		66 0F 72 /6 ib	SSE2,SB,AR1	
						
PSLLDQ	xmm	 uimm8		66 0F 73 /7 ib	SSE2,SB,AR1	
						
PSLLQ	xmm1	 xmm2/mem128		66 0F F3 /r	SSE2	
PSLLQ	xmm	 uimm8		66 0F 73 /6 ib	SSE2,SB,AR1	
						
PSLLW	xmm1	 xmm2/mem128		66 0F F1 /r	SSE2	
PSLLW	xmm	 uimm8		66 0F 71 /6 ib	SSE2,SB,AR1	
						
PSRAD	xmm1	 xmm2/mem128		66 0F E2 /r	SSE2	
PSRAD	xmm	 uimm8		66 0F 72 /4 ib	SSE2,SB,AR1	
						
PSRAW	xmm1	 xmm2/mem128		66 0F E1 /r	SSE2	
PSRAW	xmm	 uimm8		66 0F 71 /4 ib	SSE2,SB,AR1	
						
PSRLD	xmm1	 xmm2/mem128		66 0F D2 /r	SSE2	
PSRLD	xmm	 uimm8		66 0F 72 /2 ib	SSE2,SB,AR1	
						
PSRLDQ	xmm	 uimm8		66 0F 73 /3 ib	SSE2,SB,AR1	
						
PSRLQ	xmm1	 xmm2/mem128		66 0F D3 /r	SSE2	
PSRLQ	xmm	 uimm8		66 0F 73 /2 ib	SSE2,SB,AR1	
						
PSRLW	xmm1	 xmm2/mem128		66 0F D1 /r	SSE2	
PSRLW	xmm	 uimm8		66 0F 71 /2 ib	SSE2,SB,AR1	
						
PSUBB	xmm1	 xmm2/mem128		66 0F F8 /r	SSE2	
						
PSUBD	xmm1	 xmm2/mem128		66 0F FA /r	SSE2	
						
PSUBQ	xmm1	 xmm2/mem128		66 0F FB /r	SSE2	
						
PSUBSB	xmm1	 xmm2/mem128		66 0F E8 /r	SSE2	
						
PSUBSW	xmm1	 xmm2/mem128		66 0F E9 /r	SSE2	
						
PSUBUSB	xmm1	 xmm2/mem128		66 0F D8 /r	SSE2	
						
PSUBUSW	xmm1	 xmm2/mem128		66 0F D9 /r	SSE2	
						
PSUBW	xmm1	 xmm2/mem128		66 0F F9 /r	SSE2	
						
PUNPCKHBW	xmm1	 xmm2/mem128		66 0F 68 /r	SSE2	
						
PUNPCKHDQ	xmm1	 xmm2/mem128		66 0F 6A /r	SSE2	
						
PUNPCKHQDQ	xmm1	 xmm2/mem128		66 0F 6D /r	SSE2	
						
PUNPCKHWD	xmm1	 xmm2/mem128		66 0F 69 /r	SSE2	
						
PUNPCKLBW	xmm1	 xmm2/mem128		66 0F 60 /r	SSE2	
						
PUNPCKLDQ	xmm1	 xmm2/mem128		66 0F 62 /r	SSE2	
						
PUNPCKLQDQ	xmm1	 xmm2/mem128		66 0F 6C /r	SSE2	
						
PUNPCKLWD	xmm1	 xmm2/mem128		66 0F 61 /r	SSE2	
						
PXOR	xmm1	 xmm2/mem128		66 0F EF /r	SSE2	
						
RCPPS	xmm1	 xmm2/mem128		0F 53 /r	SSE	
						
RCPSS	xmm1	 xmm2/mem32		F3 0F 53 /r	SSE	
						
RSQRTPS	xmm1	 xmm2/mem128		0F 52 /r	SSE	
						
RSQRTSS	xmm1	 xmm2/mem32		F3 0F 52 /r	SSE	
						
SHUFPD	xmm1	 xmm2/mem128	 uimm8	66 0F C6 /r ib	SSE2,SB,AR2	
						
SHUFPS	xmm1	 xmm2/mem128	 uimm8	0F C6 /r ib	SSE,SB,AR2	
						
SQRTPD	xmm1	 xmm2/mem128		66 0F 51 /r	SSE2	
						
SQRTPS	xmm1	 xmm2/mem128		0F 51 /r	SSE	
						
SQRTSD	xmm1	 xmm2/mem64		F2 0F 51 /r	SSE2	
						
SQRTSS	xmm1	 xmm2/mem32		F3 0F 51 /r	SSE	
						
STMXCSR	mem32			0F AE /3	SSE	
						
SUBPD	xmm1	 xmm2/mem128		66 0F 5C /r	SSE2	
						
SUBPS	xmm1	 xmm2/mem128		0F 5C /r	SSE	
						
SUBSD	xmm1	 xmm2/mem64		F2 0F 5C /r	SSE2	
						
SUBSS	xmm1	 xmm2/mem32		F3 0F 5C /r	SSE	
						
UCOMISD	xmm1	 xmm2/mem64		66 0F 2E /r	SSE2	
						
UCOMISS	xmm1	 xmm2/mem32		0F 2E /r	SSE	
						
UNPCKHPD	xmm1	 xmm2/mem128		66 0F 15 /r	SSE2	
						
UNPCKHPS	xmm1	 xmm2/mem128		0F 15 /r	SSE	
						
UNPCKLPD	xmm1	 xmm2/mem128		66 0F 14 /r	SSE2	
						
UNPCKLPS	xmm1	 xmm2/mem128		0F 14 /r	SSE	
						
XORPD	xmm1	 xmm2/mem128		66 0F 57 /r	SSE2	
						
XORPS	xmm1	 xmm2/mem128		0F 57 /r	SSE	
						
"; 64-Bit Media Instruction Reference (from AMD64 Architecture Programmeral Volume 5: 64-Bit Media and x87 Floating-Point Instructions)"						
						
CVTPD2PI	mmx	 xmm2/mem128		66 0F 2D /r	SSE2	
						
CVTPI2PD	xmm	 mmx/mem64		66 0F 2A /r	SSE2	
						
CVTPI2PS	xmm	 mmx/mem64		0F 2A /r	SSE	
						
CVTPS2PI	mmx	 xmm/mem64		0F 2D /r	SSE	
						
CVTPD2PI	mmx	 xmm/mem128		66 0F 2C /r	SSE2	
						
CVTTPS2PI	mmx	 xmm/mem64		0F 2C /r	SSE	
						
EMMS				0F 77	MMX	
						
FEMMS				0F 0E	3DNOW	
						
FRSTOR	mem94/108env			DD /4	8086,FPU	
						
FNSAVE	mem94/108env			DD /6	8086,FPU	
FSAVE	mem94/108env			9B DD /6	8086,FPU	
						
FXRSTOR	mem512env			0F AE /1	P6,SSE,FPU	
						
FXSAVE	mem512env			0F AE /0	P6,SSE,FPU	
						
MASKMOVQ	mmx1	 mmx2		0F F7 /r	MMX	
						
MOVD	mmx	 reg/mem32		0F 6E /r	MMX	
MOVD	mmx	 reg/mem64		0F 6E /r	AMD64, MMX	
MOVD	reg/mem32	 mmx		0F 7E /r	MMX	
MOVD	reg/mem64	 mmx		0F 7E /r	AMD64, MMX	
						
MOVDQ2Q	mmx	 xmm		F2 0F D6 /r	SSE2	
						
MOVNTQ	mem64	 mmx		0F E7 /r	MMX	
						
MOVQ	mmx1	 mmx2/mem64		0F 6F /r	MMX	
MOVQ	mmx1/mem64	 mmx2		0F 7F /r	MMX	
						
MOVQ2DQ	xmm	 mmx		F3 0F D6 /r	SSE2	
						
PACKSSDW	mmx1	 mmx2/mem64		0F 6B /r	MMX	
						
PACKSSWB	mmx1	 mmx2/mem64		0F 63 /r	MMX	
						
PACKUSWB	mmx1	 mmx2/mem64		0F 67 /r	MMX	
						
PADDB	mmx1	 mmx2/mem64		0F FC /r	MMX	
						
PADDD	mmx1	 mmx2/mem64		0F FE /r	MMX	
						
PADDQ	mmx1	 mmx2/mem64		0F D4 /r	MMX	
						
PADDSB	mmx1	 mmx2/mem64		0F EC /r	MMX	
						
PADDSW	mmx1	 mmx2/mem64		0F ED /r	MMX	
						
PADDUSB	mmx1	 mmx2/mem64		0F DC /r	MMX	
						
PADDUSW	mmx1	 mmx2/mem64		0F DD /r	MMX	
						
PADDW	mmx1	 mmx2/mem64		0F FD /r	MMX	
						
PAND	mmx1	 mmx2/mem64		0F DB /r	MMX	
						
PANDN	mmx1	 mmx2/mem64		0F DF /r	MMX	
						
PAVGB	mmx1	 mmx2/mem64		0F E0 /r	MMX	
						
PAVGUSB	mmx1	 mmx2/mem64		0F 0F /r BF	3DNOW	
						
PAVGW	mmx1	 mmx2/mem64		0F E3 /r	MMX	
						
PCMPEQB	mmx1	 mmx2/mem64		0F 74 /r	MMX	
						
PCMPEQD	mmx1	 mmx2/mem64		0F 76 /r	MMX	
						
PCMPEQW	mmx1	 mmx2/mem64		0F 75 /r	MMX	
						
PCMPGTB	mmx1	 mmx2/mem64		0F 64 /r	MMX	
						
PCMPGTD	mmx1	 mmx2/mem64		0F 66 /r	MMX	
						
PCMPGTW	mmx1	 mmx2/mem64		0F 65 /r	MMX	
						
PEXTRW	reg32	 mmx	 uimm8	0F C5 /r ib	MMX	
						
PF2ID	mmx1	 mmx2/mem64		0F 0F /r 1D	3DNOW	
						
PF2IW	mmx1	 mmx2/mem64		0F 0F /r 1C	3DNOW	
						
PFACC	mmx1	 mmx2/mem64		0F 0F /r AE	3DNOW	
						
PFADD	mmx1	 mmx2/mem64		0F 0F /r 9E	3DNOW	
						
PFCMPEQ	mmx1	 mmx2/mem64		0F 0F /r B0	3DNOW	
						
PFCMPGE	mmx1	 mmx2/mem64		0F 0F /r 90	3DNOW	
						
PFCMPGT	mmx1	 mmx2/mem64		0F 0F /r A0	3DNOW	
						
PFMAX	mmx1	 mmx2/mem64		0F 0F /r A4	3DNOW	
						
PFMIN	mmx1	 mmx2/mem64		0F 0F /r 94	3DNOW	
						
PFMUL	mmx1	 mmx2/mem64		0F 0F /r B4	3DNOW	
						
PFNACC	mmx1	 mmx2/mem64		0F 0F /r 8A	3DNOW	
						
PFPNACC	mmx1	 mmx2/mem64		0F 0F /r 8E	3DNOW	
						
PFRCP	mmx1	 mmx2/mem64		0F 0F /r 96	3DNOW	
						
PFRCPIT1	mmx1	 mmx2/mem64		0F 0F /r A6	3DNOW	
						
PFRCPIT2	mmx1	 mmx2/mem64		0F 0F /r B6	3DNOW	
						
PFRSQIT1	mmx1	 mmx2/mem64		0F 0F /r A7	3DNOW	
						
PFRSQRT	mmx1	 mmx2/mem64		0F 0F /r 97	3DNOW	
						
PFSUB	mmx1	 mmx2/mem64		0F 0F /r 9A	3DNOW	
						
PFSUBR	mmx1	 mmx2/mem64		0F 0F /r AA	3DNOW	
						
PI2FD	mmx1	 mmx2/mem64		0F 0F /r 0D	3DNOW	
						
PI2FW	mmx1	 mmx2/mem64		0F 0F /r 0C	3DNOW	
						
PINSRW	mmx	 reg/mem16	 uimm8	0F C4 /r ib	MMX	
PINSRW	mmx	 reg/mem32	 uimm8	0F C4 /r ib	MMX	
						
PMADDWD	mmx1	 mmx2/mem64		0F F5 /r	MMX	
						
PMAXSW	mmx1	 mmx2/mem64		0F EE /r	MMX	
						
PMAXUB	mmx1	 mmx2/mem64		0F DE /r	MMX	
						
PMINSW	mmx1	 mmx2/mem64		0F EA /r	MMX	
						
PMINUB	mmx1	 mmx2/mem64		0F DA /r	MMX	
						
PMOVMSKB	reg32	 mmx		0F D7 /r	MMX	
						
PMULHRW	mmx1	 mmx2/mem64		0F 0F /r B7	3DNOW	
						
PMULHUW	mmx1	 mmx2/mem64		0F E4 /r	MMX	
						
PMULHW	mmx1	 mmx2/mem64		0F E5 /r	MMX	
						
PMULLW	mmx1	 mmx2/mem64		0F D5 /r	MMX	
						
PMULUDQ	mmx1	 mmx2/mem64		0F F4 /r	SSE2	
						
POR	mmx1	 mmx2/mem64		0F EB /r	MMX	
						
PSADBW	mmx1	 mmx2/mem64		0F F6 /r	MMX	
						
PSHUFW	mmx1	 mmx2/mem64	 imm8	0F 70 /r ib	SSE2	
						
PSLLD	mmx1	 mmx2/mem64		0F F2 /r	MMX	
PSLLD	mmx	 imm8		0F 72 /6 ib	MMX	
						
PSLLQ	mmx1	 mmx2/mem64		0F F3 /r	MMX	
PSLLQ	mmx	 imm8		0F 73 /6 ib	MMX	
						
PSLLW	mmx1	 mmx2/mem64		0F F1 /r	MMX	
PSLLW	mmx	 imm8		0F 71 /6 ib	MMX	
						
PSRAD	mmx1	 mmx2/mem64		0F E2 /r	MMX	
PSRAD	mmx	 imm8		0F 72 /4 ib	MMX	
						
PSRAW	mmx1	 mmx2/mem64		0F E1 /r	MMX	
PSRAW	mmx	 imm8		0F 71 /4 ib	MMX	
						
PSRLD	mmx1	 mmx2/mem64		0F D2 /r	MMX	
PSRLD	mmx	 imm8		0F 72 /2 ib	MMX	
						
PSRLQ	mmx1	 mmx2/mem64		0F D3 /r	MMX	
PSRLQ	mmx	 imm8		0F 73 /2 ib	MMX	
						
PSRLW	mmx1	 mmx2/mem64		0F D1 /r	MMX	
PSRLW	mmx	 imm8		0F 71 /2 ib	MMX	
						
PSUBB	mmx1	 mmx2/mem64		0F F8 /r	MMX	
						
PSUBD	mmx1	 mmx2/mem64		0F FA /r	MMX	
						
PSUBQ	mmx1	 mmx2/mem64		0F FB /r	MMX	
						
PSUBSB	mmx1	 mmx2/mem64		0F E8 /r	MMX	
						
PSUBSW	mmx1	 mmx2/mem64		0F E9 /r	MMX	
						
PSUBUSB	mmx1	 mmx2/mem64		0F D8 /r	MMX	
						
PSUBUSW	mmx1	 mmx2/mem64		0F D9 /r	MMX	
						
PSUBW	mmx1	 mmx2/mem64		0F F9 /r	MMX	
						
PSWAPD	mmx1	 mmx2/mem64		0F 0F /r BB	3DNOW	
						
PUNPCKHBW	mmx1	 mmx2/mem64		0F 68 /r	MMX	
						
PUNPCKHDQ	mmx1	 mmx2/mem64		0F 6A /r	MMX	
						
PUNPCKHWD	mmx1	 mmx2/mem64		0F 69 /r	MMX	
						
PUNPCKLBW	mmx1	 mmx2/mem32		0F 60 /r	MMX	
						
PUNPCKLDQ	mmx1	 mmx2/mem32		0F 62 /r	MMX	
						
PUNPCKLWD	mmx1	 mmx2/mem32		0F 61 /r	MMX	
						
PXOR	mmx1	 mmx2/mem64		0F EF /r	MMX	
						
"; x87 Floating-Point Instruction Reference (from AMD64 Architecture Programmeral Volume 5: 64-Bit Media and x87 Floating-Point Instructions)"						
						
F2XM1				D9 F0	8086,FPU	
						
FABS				D9 E1	8086,FPU	
						
FADD	ST(0)	ST(i)		D8 C0+i	8086,FPU	
FADD	ST(i)	ST(0)		DC C0+i	8086,FPU	
FADD	mem32real			D8 /0	8086,FPU	
FADD	mem64real			DC /0	8086,FPU	
FADDP				DE C1	8086,FPU	
FADDP	ST(i)	ST(0)		DE C0+i	8086,FPU	
FIADD	mem16int			DE /0	8086,FPU	
FIADD	mem32int			DA /0	8086,FPU	
						
FBLD	mem80dec			DF /4	8086,FPU	
						
FBSTP	mem80dec			DF /6	8086,FPU	
						
FCHS				D9 E0	8086,FPU	
						
FCLEX				9B DB E2	8086,FPU	
FNCLEX				DB E2	8086,FPU	
						
FCMOVB	ST(0)	ST(i)		DA C0+i	P6,FPU	
FCMOVBE	ST(0)	ST(i)		DA D0+i	P6,FPU	
FCMOVE	ST(0)	ST(i)		DA C8+i	P6,FPU	
FCMOVNB	ST(0)	ST(i)		DB C0+i	P6,FPU	
FCMOVNBE	ST(0)	ST(i)		DB D0+i	P6,FPU	
FCMOVNE	ST(0)	ST(i)		DB C8+i	P6,FPU	
FCMOVNU	ST(0)	ST(i)		DB D8+i	P6,FPU	
FCMOVU	ST(0)	ST(i)		DA D8+i	P6,FPU	
						
FCOM				D8 D1	8086,FPU	
FCOM	ST(i)			D8 D0+i	8086,FPU	
FCOM	mem32real			D8 /2	8086,FPU	
FCOM	mem64real			DC /2	8086,FPU	
FCOMP				D8 D9	8086,FPU	
FCOMP	ST(i)			D8 D8+i	8086,FPU	
FCOMP	mem32real			D8 /3	8086,FPU	
FCOMP	mem64real			DC /3	8086,FPU	
FCOMPP				DE D9	8086,FPU	
						
FCOMI	ST(0)	ST(i)		DB F0+i	P6,FPU	
FCOMIP	ST(0)	ST(i)		DF F0+i	P6,FPU	
						
FCOS				D9 FF	386,FPU	
						
FDECSTP				D9 F6	8086,FPU	
						
FDIV	ST(0)	ST(i)		D8 F0+i	8086,FPU	
FDIV	ST(i)	ST(0)		DC F8+i	8086,FPU	
FDIV	mem32real			D8 /6	8086,FPU	
FDIV	mem64real			DC /6	8086,FPU	
FDIVP				DE F9	8086,FPU	
FDIVP	ST(i)	ST(0)		DE F8+i	8086,FPU	
FIDIV	mem16int			DE /6	8086,FPU	
FIDIV	mem32int			DA /6	8086,FPU	
						
FDIVR	ST(0)	ST(i)		D8 F8+i	8086,FPU	
FDIVR	ST(i)	 ST(0)		DC F0+i	8086,FPU	
FDIVR	mem32real			D8 /7	8086,FPU	
FDIVR	mem64real			DC /7	8086,FPU	
FDIVRP				DE F1	8086,FPU	
FDIVRP	ST(i)	 ST(0)		DE F0 +i	8086,FPU	
FIDIVR	mem16int			DE /7	8086,FPU	
FIDIVR	mem32int			DA /7	8086,FPU	
						
FFREE	ST(i)			DD C0+i	8086,FPU	
						
FICOM	mem16int			DE /2	8086,FPU	
FICOM	mem32int			DA /2	8086,FPU	
FICOMP	mem16int			DE /3	8086,FPU	
FICOMP	mem32int			DA /3	8086,FPU	
						
FILD	mem16int			DF /0	8086,FPU	
FILD	mem32int			DB /0	8086,FPU	
FILD	mem64int			DF /5	8086,FPU	
						
FINCSTP				D9 F7	8086,FPU	
						
FINIT				9B DB E3	8086,FPU	
FNINIT				DB E3	8086,FPU	
						
FIST	mem16int			DF /2	8086,FPU	
FIST	mem32int			DB /2	8086,FPU	
FISTP	mem16int			DF /3	8086,FPU	
FISTP	mem32int			DB /3	8086,FPU	
FISTP	mem64int			DF /7	8086,FPU	
						
FISTTP	mem16int			DF /1	FPU	
FISTTP	mem32int			DB /1	FPU	
FISTTP	mem64int			DD /1	FPU	
						
FLD	ST(i)			D9 C0+i	8086,FPU	
FLD	mem32real			D9 /0	8086,FPU	
FLD	mem64real			DD /0	8086,FPU	
FLD	mem80real			DB /5	8086,FPU	
						
FLD1				D9 E8	8086,FPU	
						
FLDCW	mem2env			D9 /5	8086,FPU	
						
FLDENV	mem14/28env			D9 /4	8086,FPU	
						
FLDL2E				D9 EA	8086,FPU	
						
FLDL2T				D9 E9	8086,FPU	
						
FLDLG2				D9 EC	8086,FPU	
						
FLDLN2				D9 ED	8086,FPU	
						
FLDPI				D9 EB	8086,FPU	
						
FLDZ				D9 EE	8086,FPU	
						
FMUL	ST(0)	ST(i)		D8 C8+i	8086,FPU	
FMUL	ST(i)	ST(0)		DC C8+i	8086,FPU	
FMUL	mem32real			D8 /1	8086,FPU	
FMUL	mem64real			DC /1	8086,FPU	
FMULP				DE C9	8086,FPU	
FMULP	ST(i)	ST(0)		DE C8+i	8086,FPU	
FIMUL	mem16int			DE /1	8086,FPU	
FIMUL	mem32int			DA /1	8086,FPU	
						
FNOP				D9 D0	8086,FPU	
						
FPATAN				D9 F3	8086,FPU	
						
FPREM				D9 F8	8086,FPU	
						
FPREM1				D9 F5	386,FPU	
						
FPTAN				D9 F2	8086,FPU	
						
FRNDINT				D9 FC	8086,FPU	
						
FRSTOR	mem94/108env			DD /4	8086,FPU	
						
FSAVE	mem94/108env			9B DD /6	8086,FPU	
FNSAVE	mem94/108env			DD /6	8086,FPU	
						
FSCALE				D9 FD	8086,FPU	
						
FSIN				D9 FE	386,FPU	
						
FSINCOS				D9 FB	386,FPU	
						
FSQRT				D9 FA	8086,FPU	
						
FST	ST(i)			DD D0+i	8086,FPU	
FST	mem32real			D9 /2	8086,FPU	
FST	mem64real			DD /2	8086,FPU	
FSTP	ST(i)			DD D8+i	8086,FPU	
FSTP	mem32real			D9 /3	8086,FPU	
FSTP	mem64real			DD /3	8086,FPU	
FSTP	mem80real			DB /7	8086,FPU	
						
FSTCW	mem2env			9B D9 /7	8086,FPU	
FNSTCW	mem2env			D9 /7	8086,FPU	
						
FSTENV	mem14/28env			9B D9 /6	8086,FPU	
FNSTENV	mem14/28env			D9 /6	8086,FPU	
						
FSTSW	AX			9B DF E0	286,FPU	
FSTSW	mem2env			9B DD /7	8086,FPU	
FNSTSW	AX			DF E0	286,FPU	
FNSTSW	mem2env			DD /7	8086,FPU	
						
FSUB	ST(0)	ST(i)		D8 E0+i	8086,FPU	
FSUB	ST(i)	ST(0)		DC E8+i	8086,FPU	
FSUB	mem32real			D8 /4	8086,FPU	
FSUB	mem64real			DC /4	8086,FPU	
FSUBP				DE E9	8086,FPU	
FSUBP	ST(i)	ST(0)		DE E8+i	8086,FPU	
FISUB	mem16int			DE /4	8086,FPU	
FISUB	mem32int			DA /4	8086,FPU	
						
FSUBR	ST(0)	ST(i)		D8 E8+i	8086,FPU	
FSUBR	ST(i)	ST(0)		DC E0+i	8086,FPU	
FSUBR	mem32real			D8 /5	8086,FPU	
FSUBR	mem64real			DC /5	8086,FPU	
FSUBRP				DE E1	8086,FPU	
FSUBRP	ST(i)	ST(0)		DE E0+i	8086,FPU	
FISUBR	mem16int			DE /5	8086,FPU	
FISUBR	mem32int			DA /5	8086,FPU	
						
FTST				D9 E4	8086,FPU	
						
FUCOM				DD E1	386,FPU	
FUCOM	ST(i)			DD E0+i	386,FPU	
FUCOMP				DD E9	386,FPU	
FUCOMP	ST(i)			DD E8+i	386,FPU	
FUCOMPP				DA E9	386,FPU	
						
FUCOMI	ST(0)	ST(i)		DB E8+i	P6,FPU	
FUCOMIP	ST(0)	ST(i)		DF E8+i	P6,FPU	
						
FWAIT				9B	8086	
						
FXAM				D9 E5	8086,FPU	
						
FXCH				D9 C9	8086,FPU	
FXCH	ST(i)			D9 C8+i	8086,FPU	
						
FXRSTOR	mem512env			0F AE /1	P6,SSE,FPU	
						
FXSAVE	mem512env			0F AE /0	P6,SSE,FPU	
						
FXTRACT				D9 F4	8086,FPU	
						
FYL2X				D9 F1	8086,FPU	
						
FYL2XP1				D9 F9	8086,FPU	
